Molecule ChEMBL ID,Smiles,Standard Relation,Standard Value
CHEMBL325370,CC1(C)OC(=O)C(C(=O)c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,'=',600.0
CHEMBL109177,CC1(C)OC(=O)C(Oc2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,'=',40.0
CHEMBL127203,Cn1c(Br)c(Br)c(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,'=',55670.0
CHEMBL127868,Cc1ccc(Oc2c(-c3ccc(S(C)(=O)=O)cc3)oc(C)cc2=O)cc1,'=',209.99
CHEMBL153,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,'=',13100.0
CHEMBL108802,CC1(C)OC(=O)C(Cc2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,'=',300.0
CHEMBL43616,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(Br)c2)cc1,'=',80.0
CHEMBL328146,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCCCC3)C2)cc1,'>',100000.0
CHEMBL23245,CS(=O)(=O)c1ccc(C2=C(c3cccc(F)c3)C(=O)CC2)cc1,'=',340.0
CHEMBL3127460,COc1cc2occc2c(OC)c1-c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1,'=',26000.0
CHEMBL3127458,COc1c(-c2cc(-c3cccnc3)nn2-c2ccc(S(N)(=O)=O)cc2)c(O)c(OC)c2occc12,'=',360.0
CHEMBL1080853,O=C(Nc1ccc(-c2ccc(Cl)c(Cl)c2)cc1)C1=C(O)c2cc(O)ccc2S(=O)(=O)N1,'>',100000.0
CHEMBL338347,Cc1cc(=O)c(Oc2ccc(N)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,'=',1480.0
CHEMBL558929,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OCC3CCCCCC3)n2)cc1,'=',1034.0
CHEMBL562791,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OC3CCC3)n2)cc1,'<',10.0
CHEMBL540166,Cc1cc(-c2ccc(S(C)(=O)=O)cc2)nc(NC2CCCCC2)n1,'=',1683.0
CHEMBL560013,CS(=O)(=O)c1ccc(-c2cnc(Cc3ccccc3)[n+]([O-])c2-c2ccc(F)cc2)cc1,'=',717.0
CHEMBL865,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,'=',208.0
CHEMBL1957877,Fc1ccc(/N=C/c2c[nH]c3ccccc23)cc1,'=',17200.0
CHEMBL1957880,Fc1ccc(/N=C/c2cn(Cc3ccccc3)c3ccccc23)cc1,'=',710.0
CHEMBL90447,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCC3)C2)cc1,'=',3.981
CHEMBL296384,NS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)cc2)cc1,'=',3.981
CHEMBL1077398,CS(=O)(=O)Nc1ccncc1Nc1ccc(Cl)cc1,'=',5930.0
CHEMBL1956388,CN(C)c1ccc(-c2nnnn2-c2ccc(S(N)(=O)=O)cc2)cc1,'=',7000.0
CHEMBL257491,CCCCCNc1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1,'>',10000.0
CHEMBL257493,CS(=O)(=O)c1ccc(-c2nc(NCc3ccc4ccccc4c3)cc(C(F)(F)F)n2)cc1,'>',10000.0
CHEMBL561005,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OC3CCCCCC3)n2)cc1,'<',10.0
CHEMBL552081,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OC3CCCCC3)n2)cc1,'<',10.0
CHEMBL564993,Cc1ccc(Oc2nc(-c3ccc(S(C)(=O)=O)cc3)cc(C(F)(F)F)n2)cc1,'<',10.0
CHEMBL550537,CC(C)(C)Oc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,'=',33.0
CHEMBL560284,CS(=O)(=O)c1ccc(-c2cc(OCC(F)(F)F)nc(NC3CCCCC3)n2)cc1,'=',16.0
CHEMBL558728,CCCNc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,'=',5.0
CHEMBL551148,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NCc3ccc(F)cc3)n2)cc1,'=',0.28
CHEMBL416146,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,'=',554.0
CHEMBL549393,CCCCNc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,'=',70.0
CHEMBL550126,CCCCOc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,'=',158.0
