Smiles,Standard Relation,Standard Units,Standard Value
COc1c(-c2cc(-c3cccnc3)nn2-c2ccc(S(N)(=O)=O)cc2)c(O)c(OC)c2occc12,'=',nM,360.0
Cc1cc(=O)c(Oc2ccc(N)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,'=',nM,1480.0
CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OCC3CCCCCC3)n2)cc1,'=',nM,1034.0
Cc1cc(-c2ccc(S(C)(=O)=O)cc2)nc(NC2CCCCC2)n1,'=',nM,1683.0
CS(=O)(=O)c1ccc(-c2cnc(Cc3ccccc3)[n+]([O-])c2-c2ccc(F)cc2)cc1,'=',nM,717.0
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,'=',nM,208.0
Fc1ccc(/N=C/c2c[nH]c3ccccc23)cc1,'=',nM,17200.0
Fc1ccc(/N=C/c2cn(Cc3ccccc3)c3ccccc23)cc1,'=',nM,710.0
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCC3)C2)cc1,'=',nM,3.981
NS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)cc2)cc1,'=',nM,3.981
CS(=O)(=O)Nc1ccncc1Nc1ccc(Cl)cc1,'=',nM,5930.0
CN(C)c1ccc(-c2nnnn2-c2ccc(S(N)(=O)=O)cc2)cc1,'=',nM,7000.0
CC(C)(C)Oc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,'=',nM,33.0
CS(=O)(=O)c1ccc(-c2cc(OCC(F)(F)F)nc(NC3CCCCC3)n2)cc1,'=',nM,16.0
CCCNc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,'=',nM,5.0
CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NCc3ccc(F)cc3)n2)cc1,'=',nM,0.28
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,'=',nM,554.0
CCCCNc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,'=',nM,70.0
CCCCOc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,'=',nM,158.0
CS(=O)(=O)c1ccc(-c2cnc(Cc3ccccc3O)nc2-c2ccc(F)cc2)cc1,'=',nM,43.0
CS(=O)(=O)c1ccc(-c2nc(NC3CCCC3)cc(C(F)(F)F)n2)cc1,'=',nM,475.9
NS(=O)(=O)c1ccc(/N=C/c2ccc(O)c(O)c2)cc1,'=',nM,2850.0
Cc1ccc(/C=N/c2ccc(S(N)(=O)=O)cc2)cc1,'=',nM,4940.0
Cc1ccc2c(c1)oc(=O)n2Cc1cn(-c2ccc(Cl)cc2)nn1,'=',nM,5600.0
Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,'=',nM,60.0
